[INFO] [1753419879.863796939] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419879.928037993] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.028245591] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.128437350] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.228105005] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.328335454] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.428137767] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.528284726] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.628056990] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.729644869] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.828408029] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419880.928110724] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.028105489] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.128072480] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.228368852] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.328366052] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.428250001] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.529441268] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.628076813] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.728254144] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.828411634] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419881.928106140] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419882.029115645] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
[INFO] [1753419882.128059102] [laser_publisher]: Sample data - Range: array('f', [0.0, 2.812000036239624, 2.4100000858306885, 4.736000061035156]), Intensity: array('f', [0.0, 1410.0, 12.0, 55.0])
