[INFO] [1754206742.261816571] [solver_node]: SolverNode启动，进入初始化阶段，需要收集100次激光数据进行标定...
[WARN] [1754206743.223284490] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206744.228060863] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206745.228789732] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206746.233951179] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206747.236674713] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206748.242950184] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206752.353074043] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206753.352713924] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206754.357295668] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206755.359269825] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206756.370969554] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206757.376721195] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206758.377077302] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206759.385004295] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206760.382543966] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206761.393728181] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206762.397897513] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206763.398831790] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206764.405475312] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206765.407111300] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206766.402092722] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206767.419682853] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206768.408956466] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206769.407548225] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206770.413528804] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206771.412527565] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206772.419467025] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206773.436420038] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206774.419541074] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206775.421606898] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206776.425428656] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206777.426261526] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206778.427603296] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206779.431182922] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206780.445192670] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206781.435243101] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206785.554370413] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206786.543707030] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206787.550885239] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206788.556492744] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206789.560853825] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206790.558611365] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206791.563572586] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206792.565874290] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206793.570073859] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206794.571786531] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206867.480592869] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206868.486108941] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206869.485798171] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206870.489181768] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206871.489192448] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206872.491387187] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206873.503007423] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206874.500869127] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206875.499656759] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206876.503149929] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206877.503779592] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206878.507220779] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206879.509842786] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206880.510965218] [solver_node]: 收到空的激光距离数据，跳过处理
[WARN] [1754206881.511740022] [solver_node]: 收到空的激光距离数据，跳过处理
[INFO] [1754207299.747835953] [solver_node]: 标定数据收集进度: 1/100
[INFO] [1754207299.847301382] [solver_node]: 标定数据收集进度: 2/100
[INFO] [1754207299.947878227] [solver_node]: 标定数据收集进度: 3/100
[INFO] [1754207300.049353196] [solver_node]: 标定数据收集进度: 4/100
[INFO] [1754207300.147245102] [solver_node]: 标定数据收集进度: 5/100
[INFO] [1754207300.247493320] [solver_node]: 标定数据收集进度: 6/100
[INFO] [1754207300.347305132] [solver_node]: 标定数据收集进度: 7/100
[INFO] [1754207300.447525637] [solver_node]: 标定数据收集进度: 8/100
[INFO] [1754207300.549245481] [solver_node]: 标定数据收集进度: 9/100
[INFO] [1754207300.647509567] [solver_node]: 标定数据收集进度: 10/100
[INFO] [1754207300.747110136] [solver_node]: 标定数据收集进度: 11/100
[INFO] [1754207300.847895757] [solver_node]: 标定数据收集进度: 12/100
[INFO] [1754207300.947481957] [solver_node]: 标定数据收集进度: 13/100
[INFO] [1754207301.047440783] [solver_node]: 标定数据收集进度: 14/100
[INFO] [1754207301.148267524] [solver_node]: 标定数据收集进度: 15/100
[INFO] [1754207301.247157047] [solver_node]: 标定数据收集进度: 16/100
[INFO] [1754207301.346883956] [solver_node]: 标定数据收集进度: 17/100
[INFO] [1754207301.447897459] [solver_node]: 标定数据收集进度: 18/100
[INFO] [1754207301.547550636] [solver_node]: 标定数据收集进度: 19/100
[INFO] [1754207301.647728224] [solver_node]: 标定数据收集进度: 20/100
[INFO] [1754207301.749550792] [solver_node]: 标定数据收集进度: 21/100
[INFO] [1754207301.847285344] [solver_node]: 标定数据收集进度: 22/100
[INFO] [1754207301.952685212] [solver_node]: 标定数据收集进度: 23/100
[INFO] [1754207302.047595813] [solver_node]: 标定数据收集进度: 24/100
[INFO] [1754207302.147278013] [solver_node]: 标定数据收集进度: 25/100
[INFO] [1754207302.247231811] [solver_node]: 标定数据收集进度: 26/100
[INFO] [1754207302.347801129] [solver_node]: 标定数据收集进度: 27/100
[INFO] [1754207302.446895748] [solver_node]: 标定数据收集进度: 28/100
[INFO] [1754207302.547227293] [solver_node]: 标定数据收集进度: 29/100
[INFO] [1754207302.647190980] [solver_node]: 标定数据收集进度: 30/100
[INFO] [1754207302.747680166] [solver_node]: 标定数据收集进度: 31/100
[INFO] [1754207302.847703472] [solver_node]: 标定数据收集进度: 32/100
[INFO] [1754207302.947175006] [solver_node]: 标定数据收集进度: 33/100
[INFO] [1754207303.047413585] [solver_node]: 标定数据收集进度: 34/100
[INFO] [1754207303.147586592] [solver_node]: 标定数据收集进度: 35/100
[INFO] [1754207303.247986779] [solver_node]: 标定数据收集进度: 36/100
[INFO] [1754207303.346757923] [solver_node]: 标定数据收集进度: 37/100
[INFO] [1754207303.447071098] [solver_node]: 标定数据收集进度: 38/100
[INFO] [1754207303.547700896] [solver_node]: 标定数据收集进度: 39/100
[INFO] [1754207303.647413624] [solver_node]: 标定数据收集进度: 40/100
[INFO] [1754207303.748673150] [solver_node]: 标定数据收集进度: 41/100
[INFO] [1754207303.848380821] [solver_node]: 标定数据收集进度: 42/100
[INFO] [1754207303.947878722] [solver_node]: 标定数据收集进度: 43/100
[INFO] [1754207304.047042238] [solver_node]: 标定数据收集进度: 44/100
[INFO] [1754207304.147344241] [solver_node]: 标定数据收集进度: 45/100
[INFO] [1754207304.247539135] [solver_node]: 标定数据收集进度: 46/100
[INFO] [1754207304.351352772] [solver_node]: 标定数据收集进度: 47/100
[INFO] [1754207304.447044814] [solver_node]: 标定数据收集进度: 48/100
[INFO] [1754207304.546990351] [solver_node]: 标定数据收集进度: 49/100
[INFO] [1754207304.646951057] [solver_node]: 标定数据收集进度: 50/100
[INFO] [1754207304.747425998] [solver_node]: 标定数据收集进度: 51/100
[INFO] [1754207304.848067122] [solver_node]: 标定数据收集进度: 52/100
[INFO] [1754207304.957502996] [solver_node]: 标定数据收集进度: 53/100
[INFO] [1754207305.048467309] [solver_node]: 标定数据收集进度: 54/100
[INFO] [1754207305.148485360] [solver_node]: 标定数据收集进度: 55/100
[INFO] [1754207305.247726636] [solver_node]: 标定数据收集进度: 56/100
[INFO] [1754207305.354011371] [solver_node]: 标定数据收集进度: 57/100
[INFO] [1754207305.449743093] [solver_node]: 标定数据收集进度: 58/100
[INFO] [1754207305.547642765] [solver_node]: 标定数据收集进度: 59/100
[INFO] [1754207305.647347680] [solver_node]: 标定数据收集进度: 60/100
[INFO] [1754207305.746972430] [solver_node]: 标定数据收集进度: 61/100
[INFO] [1754207305.847469417] [solver_node]: 标定数据收集进度: 62/100
[INFO] [1754207305.947573520] [solver_node]: 标定数据收集进度: 63/100
[INFO] [1754207306.048090475] [solver_node]: 标定数据收集进度: 64/100
[INFO] [1754207306.147471787] [solver_node]: 标定数据收集进度: 65/100
[INFO] [1754207306.247940899] [solver_node]: 标定数据收集进度: 66/100
[INFO] [1754207306.347244255] [solver_node]: 标定数据收集进度: 67/100
[INFO] [1754207306.447410631] [solver_node]: 标定数据收集进度: 68/100
[INFO] [1754207306.547273247] [solver_node]: 标定数据收集进度: 69/100
[INFO] [1754207306.648512573] [solver_node]: 标定数据收集进度: 70/100
[INFO] [1754207306.752575146] [solver_node]: 标定数据收集进度: 71/100
[INFO] [1754207306.848510076] [solver_node]: 标定数据收集进度: 72/100
[INFO] [1754207306.946928428] [solver_node]: 标定数据收集进度: 73/100
[INFO] [1754207307.050437500] [solver_node]: 标定数据收集进度: 74/100
[INFO] [1754207307.151569234] [solver_node]: 标定数据收集进度: 75/100
[INFO] [1754207307.247854100] [solver_node]: 标定数据收集进度: 76/100
[INFO] [1754207307.347003142] [solver_node]: 标定数据收集进度: 77/100
[INFO] [1754207307.447232943] [solver_node]: 标定数据收集进度: 78/100
[INFO] [1754207307.547127238] [solver_node]: 标定数据收集进度: 79/100
[INFO] [1754207307.647322285] [solver_node]: 标定数据收集进度: 80/100
[INFO] [1754207307.752414988] [solver_node]: 标定数据收集进度: 81/100
[INFO] [1754207307.847031097] [solver_node]: 标定数据收集进度: 82/100
[INFO] [1754207307.947937764] [solver_node]: 标定数据收集进度: 83/100
[INFO] [1754207308.047879933] [solver_node]: 标定数据收集进度: 84/100
[INFO] [1754207308.148247051] [solver_node]: 标定数据收集进度: 85/100
[INFO] [1754207308.250480599] [solver_node]: 标定数据收集进度: 86/100
[INFO] [1754207308.350752639] [solver_node]: 标定数据收集进度: 87/100
[INFO] [1754207308.447460788] [solver_node]: 标定数据收集进度: 88/100
[INFO] [1754207308.547186049] [solver_node]: 标定数据收集进度: 89/100
[INFO] [1754207308.647562799] [solver_node]: 标定数据收集进度: 90/100
[INFO] [1754207308.747101586] [solver_node]: 标定数据收集进度: 91/100
[INFO] [1754207308.848072030] [solver_node]: 标定数据收集进度: 92/100
[INFO] [1754207308.948740251] [solver_node]: 标定数据收集进度: 93/100
[INFO] [1754207309.047248778] [solver_node]: 标定数据收集进度: 94/100
[INFO] [1754207309.147478574] [solver_node]: 标定数据收集进度: 95/100
[INFO] [1754207309.250218033] [solver_node]: 标定数据收集进度: 96/100
[INFO] [1754207309.347303766] [solver_node]: 标定数据收集进度: 97/100
[INFO] [1754207309.447688514] [solver_node]: 标定数据收集进度: 98/100
[INFO] [1754207309.550363266] [solver_node]: 标定数据收集进度: 99/100
[INFO] [1754207309.647093429] [solver_node]: 标定数据收集进度: 100/100
[INFO] [1754207309.647844251] [solver_node]: 标定数据收集完成，开始标定过程...
[INFO] [1754207309.648710951] [solver_node]: 开始标定，收集到的数据shape: (100, 5)
[INFO] [1754207309.650407517] [solver_node]: 标定完成: m=4.548, n=0.000
[INFO] [1754207309.651106144] [solver_node]: 初始位姿: x=4.548, y=0.000, phi=3.142
[INFO] [1754207309.655549184] [solver_node]: 发布静态变换: translation=(-0.000, 4.548, 0.0), rotation=-1.571
[INFO] [1754207309.657372316] [solver_node]: 初始化阶段完成，进入运行阶段
[INFO] [1754207309.752782541] [solver_node]: 收到5个激光点，处理后5个有效点
[INFO] [1754207309.755787973] [solver_node]: 当前位置: x=4.061, y=0.000, angle=3.087
